TimesH,Frame,1,2,3,4,5,6
36.52,36.52,0.0004,0.001,0.0009,0.0008,0.0015,0.0017
36.77,36.77,0.0009,0.001,0.0012,0.001,0.0017,0.0013
37.02,37.02,0.0012,0.0012,0.0011,0.0011,0.0016,0.0016
37.27,37.27,0.0006,0.0011,0.0009,0.001,0.0013,0.0025
37.53,37.53,0.0005,0.0011,0.0011,0.0008,0.0017,0.0012
37.78,37.78,0.0008,0.0015,0.0013,0.0011,0.0017,0.0014
38.03,38.03,0.0008,0.0012,0.0008,0.0008,0.0013,0.001
38.28,38.28,0.0005,0.0012,0.0011,0.0006,0.0013,0.001
38.53,38.53,0.0004,0.0012,0.0009,0.0008,0.0014,0.0009
38.78,38.78,0.0009,0.0012,0.0012,0.0009,0.0014,0.0012
39.03,39.03,0.0006,0.0011,0.0011,0.0012,0.0011,0.0013
39.28,39.28,0.0004,0.0011,0.0008,0.001,0.0014,0.0008
39.53,39.53,0.0002,0.0014,0.0007,0.001,0.001,0.0011
39.78,39.78,0.0007,0.0012,0.0011,0.0013,0.0009,0.0013
40.03,40.03,0.0008,0.0015,0.001,0.0012,0.0012,0.0017
40.28,40.28,0.0008,0.0013,0.0013,0.0011,0.0014,0.0012
40.53,40.53,0.0004,0.0009,0.001,0.0011,0.0007,0.0012
40.78,40.78,0.0005,0.0009,0.0007,0.0011,0.0007,0.001
41.03,41.03,0.0007,0.0012,0.0008,0.0008,0.0007,0.0008
41.28,41.28,0.0006,0.0009,0.0012,0.001,0.0009,0.0014
41.53,41.53,0.0006,0.0012,0.0009,0.0007,0.0005,0.0013
41.78,41.78,0.0007,0.0013,0.0012,0.0011,0.001,0.0013
42.03,42.03,0.0007,0.0011,0.001,0.001,0.0008,0.0014
42.28,42.28,0.0006,0.0014,0.0009,0.0011,0.0007,0.0014
42.53,42.53,0.0009,0.0013,0.0016,0.0012,0.001,0.0017
42.78,42.78,0.0003,0.0013,0.0007,0.0009,0.0006,0.0013
43.03,43.03,0.0006,0.0014,0.001,0.0015,0.0006,0.0014
43.28,43.28,0.0011,0.0015,0.0012,0.0013,0.0007,0.0021
43.53,43.53,0.0011,0.0017,0.0012,0.0013,0.0009,0.0016
43.78,43.78,0.0008,0.0014,0.0014,0.0014,0.0009,0.0021
44.03,44.03,0.001,0.0017,0.0014,0.0015,0.0006,0.0018
44.28,44.28,0.0007,0.0018,0.0012,0.0012,0.0003,0.0016
44.53,44.53,0.0006,0.0019,0.0012,0.0013,0.0005,0.0015
44.78,44.78,0.0009,0.0018,0.0019,0.0017,0.001,0.0018
45.03,45.03,0.0009,0.0017,0.0014,0.0013,0.0009,0.0018
45.28,45.28,0.0006,0.0014,0.0016,0.0009,0.0006,0.0016
45.53,45.53,0.0006,0.002,0.0013,0.0012,0.0005,0.0015
45.78,45.78,0.0004,0.0017,0.001,0.0014,0.0001,0.002
