TimesH,Frame,NoMissing,1,1,2,2,3,3,4,4,5,5,6,6
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
37,37,,2.251,2.355,,,,,2.081,3.199,2.49,2.421,,
38,38,,,,,,,,2.097,3.199,2.498,2.416,,
39,39,,,,,,,,2.08,3.195,2.492,2.422,,
40,40,,,,,,,,,,2.489,2.416,,
41,41,,,,,,,,,,2.484,2.417,,
42,42,,,,,,3.534,2.583,,,2.43,2.458,,
43,43,,,,,,3.545,2.578,2.08,3.16,2.417,2.46,3.314,2.618
44,44,,,,,,3.54,2.562,2.075,3.165,2.416,2.491,3.314,2.619
45,45,,,,,,3.537,2.551,2.078,3.157,2.406,2.466,3.318,2.607
46,46,,,,,,3.539,2.542,2.114,3.163,2.413,2.456,3.316,2.596
47,47,,2.295,2.366,3.413,2.526,3.527,2.53,2.077,3.156,,,3.31,2.597
48,48,,2.272,2.364,3.411,2.523,,,2.076,3.153,,,,
49,49,,2.273,2.362,3.422,2.516,,,2.08,3.153,,,,
50,50,,2.267,2.358,3.417,2.516,,,2.072,3.143,2.376,2.454,,
51,51,,2.256,2.348,3.412,2.514,,,2.073,3.142,2.374,2.452,3.317,2.578
52,52,,2.262,2.343,3.408,2.514,,,2.086,3.15,2.358,2.446,3.318,2.565
53,53,,2.257,2.338,3.415,2.512,,,2.07,3.14,2.368,2.445,3.309,2.566
54,54,,,,3.409,2.509,,,2.076,3.137,2.347,2.433,3.314,2.561
55,55,,2.322,2.263,3.405,2.501,,,2.073,3.13,2.351,2.437,3.308,2.561
56,56,,2.323,2.255,3.402,2.499,,,2.078,3.125,2.344,2.424,3.313,2.562
57,57,,,,3.404,2.492,,,2.073,3.121,2.349,2.44,,
58,58,,,,3.402,2.508,,,2.084,3.124,2.35,2.406,,
59,59,,,,3.387,2.498,3.563,2.581,2.081,3.125,2.323,2.414,,
60,60,,,,3.385,2.524,3.559,2.579,2.09,3.12,2.322,2.408,,
61,61,,,,3.356,2.529,3.561,2.568,2.085,3.102,,,,
62,62,,,,,,3.563,2.562,2.071,3.106,,,,
63,63,,,,,,3.56,2.56,,,,,3.364,2.543
64,64,,2.349,2.073,,,3.558,2.555,,,,,3.399,2.543
65,65,,2.388,2.064,,,3.566,2.542,,,,,3.355,2.538
66,66,,2.402,2.068,,,3.569,2.538,,,,,3.431,2.568
67,67,,2.399,2.061,3.375,2.542,3.564,2.456,,,2.253,2.511,3.43,2.554
68,68,,2.409,2.064,3.322,2.504,3.554,2.433,,,2.257,2.509,3.454,2.559
69,69,,2.396,2.05,3.323,2.494,3.551,2.437,2.083,3.061,2.255,2.493,3.446,2.55
70,70,,2.39,2.047,3.319,2.489,3.539,2.419,2.097,3.072,2.257,2.487,3.436,2.549
71,71,,2.39,2.04,3.321,2.474,3.538,2.403,2.096,3.063,2.253,2.475,3.44,2.544
72,72,,,,3.269,2.618,3.541,2.481,2.026,3.096,2.213,2.417,3.522,2.686
73,73,,2.401,2.066,3.264,2.568,3.536,2.435,2.005,3.051,2.198,2.398,3.505,2.631
74,74,,2.417,2.059,3.269,2.553,,,2,3.041,2.199,2.392,3.507,2.627
75,75,,2.419,2.05,3.271,2.57,,,2.004,3.041,2.194,2.384,3.499,2.622
76,76,,2.412,2.044,,,,,2.01,3.024,2.194,2.357,3.512,2.619
77,77,,2.407,2.036,3.152,2.743,,,2.001,3.037,2.179,2.381,3.506,2.617
78,78,,2.405,2.033,3.167,2.721,,,1.999,3.024,,,3.508,2.613
79,79,,2.411,2.025,3.164,2.736,3.49,2.458,2,3.017,,,3.515,2.613
80,80,,2.407,2.022,,,3.473,2.464,2.003,3.03,,,3.519,2.608
81,81,,2.412,2.022,,,3.5,2.452,2.011,3.021,,,3.568,2.566
82,82,,2.404,2.017,,,,,2.019,3.011,,,3.633,2.558
83,83,,,,,,,,1.996,3.014,,,,
84,84,,,,,,,,2.008,3.032,,,3.663,2.533
85,85,,,,,,,,1.991,2.985,,,3.661,2.526
86,86,,,,,,,,,,,,3.663,2.521
87,87,,,,,,,,,,,,3.668,2.523
88,88,,,,,,,,,,,,3.656,2.515
89,89,,,,,,3.481,2.467,,,2.172,2.441,3.667,2.507
90,90,,,,,,3.53,2.531,,,2.164,2.429,3.668,2.51
91,91,,2.406,2.115,3.112,2.741,,,1.977,2.948,2.152,2.428,3.665,2.495
92,92,,2.398,2.119,3.135,2.75,3.556,2.531,1.963,2.975,2.154,2.43,3.655,2.487
93,93,,2.398,2.108,,,3.545,2.522,,,2.145,2.413,3.784,2.467
94,94,,2.4,2.106,,,3.538,2.52,1.981,2.975,2.145,2.414,3.788,2.458
95,95,,2.396,2.103,,,3.552,2.525,1.984,2.969,2.135,2.426,3.784,2.465
96,96,,2.412,2.078,,,3.545,2.526,1.985,2.965,2.104,2.473,,
97,97,,2.448,2.081,,,3.548,2.512,1.974,2.962,2.094,2.46,3.79,2.454
98,98,,,,,,3.549,2.513,1.972,2.953,2.099,2.468,3.793,2.449
99,99,,,,,,3.533,2.52,1.979,2.947,2.096,2.459,3.792,2.473
100,100,,,,,,3.544,2.524,1.991,2.947,2.088,2.464,3.787,2.464
101,101,,2.47,2.187,,,3.545,2.518,1.974,2.951,2.089,2.463,3.762,2.513
102,102,,2.459,2.19,3.077,2.645,3.544,2.523,1.98,2.939,2.073,2.458,3.767,2.517
103,103,,2.44,2.259,3.059,2.666,3.542,2.512,1.98,2.945,2.078,2.455,3.764,2.512
104,104,,2.435,2.264,3.07,2.665,3.546,2.525,1.984,2.943,2.066,2.46,3.781,2.523
105,105,,2.434,2.268,,,3.553,2.515,1.975,2.946,2.049,2.466,3.764,2.495
106,106,,2.431,2.265,,,3.539,2.512,1.973,2.932,2.077,2.451,3.772,2.503
107,107,,2.436,2.251,,,3.554,2.551,1.971,2.945,,,3.775,2.502
108,108,,2.424,2.255,,,3.594,2.607,1.974,2.948,2.04,2.457,3.776,2.493
109,109,,2.44,2.267,,,3.591,2.557,1.964,2.937,2.023,2.491,3.79,2.51
110,110,,2.402,2.253,,,3.654,2.581,1.997,2.938,,,3.786,2.495
111,111,,2.441,2.24,,,3.64,2.568,,,,,3.792,2.5
112,112,,,,,,3.646,2.56,,,,,,
113,113,,2.398,2.241,3,2.746,3.643,2.553,,,,,,
114,114,,2.379,2.215,2.954,2.778,3.638,2.549,,,,,,
115,115,,2.406,2.205,2.966,2.753,3.641,2.549,,,,,,
116,116,,2.384,2.218,,,3.636,2.527,,,,,,
117,117,,2.372,2.215,,,3.622,2.565,2.097,2.921,,,,
118,118,,2.374,2.211,,,3.619,2.584,2.077,2.829,,,,
119,119,,2.378,2.201,,,,,,,,,,
120,120,,2.371,2.2,,,3.597,2.58,,,,,3.785,2.435
121,121,,2.384,2.197,,,3.593,2.575,,,1.966,2.465,3.793,2.427
122,122,,2.383,2.203,2.915,2.875,3.542,2.566,,,1.986,2.505,3.79,2.419
123,123,,2.39,2.203,2.947,2.916,3.516,2.613,2.064,2.808,1.984,2.461,3.791,2.416
124,124,,2.381,2.192,,,3.51,2.622,2.066,2.782,1.983,2.449,3.795,2.407
125,125,,2.374,2.215,,,3.509,2.626,2.191,2.835,,,3.796,2.453
126,126,,2.353,2.18,,,3.505,2.623,2.201,2.835,,,3.797,2.411
127,127,,,,,,3.504,2.623,2.21,2.83,,,3.805,2.421
128,128,,,,,,3.499,2.622,2.18,2.839,,,3.802,2.456
129,129,,2.257,2.202,,,3.494,2.624,2.177,2.86,2.035,2.414,,
130,130,,2.244,2.186,,,3.507,2.626,2.19,2.838,2.021,2.424,3.666,2.39
131,131,,2.25,2.165,,,3.5,2.619,2.182,2.861,2.023,2.415,3.675,2.392
