TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
5,5,0.0005,0.0002,0,0,0.0003,0.0006,0.0007,0.0008,0.0009,0.0008,0.0002,0.0003,5.50E-05,0.0005,0.001,0.0005,0.001,0.0006,0.0004,0.0002,0.0004,0.0002,0.0005,0.0007,0.0011,0.0008,0.0001,0.0002,0.0003,0.0005,0.0004,0.0005,0.0007,0.0006,0.0002,1.87E-05,0.0002,0.0006,0.0003,0.0006,0.0008,0.0008,1.77E-05,3.64E-05,0.0003,0.0002,0,0.0008,0.001,0.0004,0.0001,9.73E-05,0,0.0018,0.0011,0.0031,0.0003,0.0006,0,0.0001,0.0001,0.0008,0.0004,5.90E-06,0,1.08E-05,0,0,0,0,0,0,0,1.38E-05,0,2.65E-05,0,0,0,0,0,0,0,0.0003,0,0,0,5.21E-05,0,6.19E-05,0,0,7.86E-06,0,0,0
5.25,5.25,0.0004,0.0002,0.0006,0.0002,0.0005,0.0007,0.0008,0.0005,0.001,0.0003,0.0003,0,0.0004,0.0005,0.0013,0.0006,0.0007,0.0006,0,0,0.0003,0,0.0002,0.0004,0.0007,0.0003,1.57E-05,0.0002,0,0.0006,0,0.0002,0.0002,0.0004,0,9.04E-05,0,0.0005,0.0003,5.21E-05,0.0012,0.0004,0.0001,0,0.0005,0.0005,0.0002,0.0009,0.0012,0.0007,0,0.0004,4.52E-05,0.0017,0.0019,0.0031,0.0006,0.0009,0.0002,5.21E-05,0.0003,0.001,0.0007,0.0005,0,0,0,0,0,4.82E-05,0,0.0002,0,0.0001,0,0.0002,0.0001,1.97E-05,3.74E-05,8.55E-05,0.0003,8.65E-05,0.0002,7.57E-05,0,0.0002,0,0,0,0,0,1.47E-05,3.64E-05,0,0,0
5.5,5.5,0.0004,0,0.0001,0.0002,0.0004,0.0004,0.0004,0.0007,0.0006,0.0004,0.0001,0,0,0.0003,0.0009,0.0005,0.0012,0.0004,6.49E-05,0.0004,0.0002,0.0001,0.0006,0.0006,0.001,0.0007,0.0003,1.28E-05,0.0003,0.0004,0.0004,0.0003,0.0006,0.0004,0.0002,0.0003,6.68E-05,0.0004,0.0006,0.0003,0.0008,0.0007,3.64E-05,0.0004,0.0003,0.0003,0.0005,0.0008,0.0012,0.0007,7.08E-05,0.0004,0,0.0022,0.0012,0.0028,0.0006,0.0008,0.0004,0.0004,0.0002,0.0012,0.0007,0.0004,0,0,0.0001,0.0001,0,0,0,1.38E-05,0,0,0,0,0,0,0,0,0,9.34E-05,0,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0
5.75,5.75,0.0001,0.0003,0,0.0002,0.0001,0.0003,0.0006,0.0004,0.0014,0.0002,0.0004,0.0001,1.38E-05,0.0006,0.0008,0.0007,0.0012,0.0009,0,0.0006,0,0.0003,0.0006,0.0007,0.0008,0.0007,0.0002,0.0002,3.93E-06,0.0006,0.0004,0.0006,0.0006,0.0008,0.0003,0.0003,0.0001,0.0009,0.0005,0.0004,0.001,0.0007,0.0002,0.0005,0.0006,0.0005,0.0004,0.0007,0.001,0.0004,0.0004,0.0002,0,0.0014,0.0015,0.0026,0.0006,0.0003,0,0.0001,0,0.0008,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001
6,6,0.0004,0.0004,0.0005,0.0002,0.0004,0.0004,0.0006,0.0005,0.0012,0.0006,0.0004,0.0001,0.0002,0.0004,0.0011,0.0007,0.0008,0.0007,2.16E-05,0.0004,0.0003,9.53E-05,0.0002,0.0006,0.0008,0.0004,0.0001,4.91E-05,0,0.0007,0.0002,0.0007,0.0003,0.0004,5.21E-05,0.0002,0,0.0003,0.0003,0,0.0007,0.0004,0,0,4.72E-05,0.0001,0,0.0005,0.0007,0.0004,0,0,0,0.0016,0.0016,0.0025,0.0004,0.0004,0.0002,0.0002,0.0002,0.0008,0.0004,0.0002,0,0,0,2.06E-05,0,0.0003,0,4.52E-05,0,0,0,2.26E-05,0.0001,0,0,0,0.0002,0,3.93E-06,0,0,0,0.0002,0,0,7.47E-05,0,0,0.0003,0,0.0002,0
6.25,6.25,0.0007,0.0003,0.0004,0,0.0003,0.0003,0.0007,0.0003,0.0007,0.0002,0.0003,4.82E-05,0.0001,0.0004,0.0006,0.0005,0.001,0.0005,0,0,0,0,0.0001,0.0003,0.0006,0.0006,6.09E-05,0.0002,0,0.0005,0.0002,0.0002,0.0005,0.0004,0,0.0001,0,0.0006,0.0003,0.0003,0.0012,0.0008,0,0.0005,0.0001,0.0003,0.0003,0.0005,0.0009,0.0008,0.0001,0.0002,3.93E-06,0.0016,0.0014,0.0025,0.0003,0.0008,0.0003,0.0003,0.0002,0.0007,0.0009,4.33E-05,7.57E-05,0,0.0002,0,0,0.0001,0,8.26E-05,0,0.0001,0,3.05E-05,0,0,0,0.0002,0.0001,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0
6.5,6.5,0.0008,0.0004,8.36E-05,0,9.04E-05,0.0002,0.0002,0.0007,0.0007,0.0005,0.0002,0,0.0002,0.0004,0.0008,0.0004,0.0008,0.0004,0,0.0001,0.0002,0,0.0003,0.0004,0.0008,0.0005,0.0003,8.85E-06,0.0008,0.0003,0.0006,0.0006,0.0007,0.0006,0.0002,0.0002,0.0003,0.0005,0.0004,0.0002,0.0008,0.0009,8.16E-05,0.0003,0.0002,0.0003,0.0001,0.0011,0.0009,0.0007,0,0.0006,4.72E-05,0.0017,0.0011,0.0031,0.0005,0.0004,0.0001,0.0001,0.0001,0.0012,0.0006,0.0003,0,0,0,0.0002,0,0,0,0,0,0,0,3.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.75,6.75,0.0005,0.0002,7.86E-06,0.0002,0.0003,0.0003,0.0004,0.0007,0.0008,0.0007,2.95E-06,0.0003,2.06E-05,0.0008,0.0006,0.0004,0.001,0.0005,0.0002,0.0001,0.0006,0.0003,0.0003,0.0007,0.0008,0.0006,0.0005,0.0002,0.0002,0.0004,0.0007,0.0006,0.0005,0.0001,0.0004,5.31E-05,0.0002,0.0003,0.0001,0.0001,0.0007,0.0002,0,0,0.0006,0,8.85E-05,0.0005,0.0005,0.0003,8.36E-05,0.0001,0,0.001,0.0011,0.0019,0.0003,0.0003,0.0002,0,0,0.0006,0.0001,0,2.95E-06,0,0,0,0,0.0001,0,0,0,0.0001,0,3.83E-05,0,0,0,0,0,0,3.93E-05,0,0,8.16E-05,5.60E-05,0.0002,0,0,0.0002,0,0.0002,0,3.15E-05,0
7,7,0.0006,0.0005,0.0006,9.53E-05,0.0006,0.0006,0.0006,0.0007,0.0008,0.0005,0.0004,0.0002,0.0003,0.0007,0.0011,0.0006,0.001,0.0004,7.57E-05,0,0.0005,0.0002,0.0002,0.0005,0.0006,0.0001,3.44E-05,0,7.37E-05,0.0002,0.0006,0.0003,0.0005,0.0004,0,3.34E-05,0,0.0006,0,0.0002,0.0007,0.0006,0,0.0003,0,0.0002,0,0.0007,0.0007,0.0004,0.0001,0.0002,5.11E-05,0.0015,0.001,0.0023,0.0004,0.0008,0,5.31E-05,0.0003,0.0008,0.0007,0.0003,0,0.0002,0,0.0001,0,0.0004,0,8.95E-05,0,0.0002,0,0,0,0,0,0,4.03E-05,0,6.88E-05,0,3.93E-05,0,0,0.0001,1.97E-06,0,0,0,0,0,0.0002,0
7.25,7.25,0.0005,0.0001,6.49E-05,0,0.0002,0,0.0002,0.0005,0.0003,0.0001,0,5.01E-05,7.86E-06,1.67E-05,0.0005,0.0002,0.0006,0,0,0,8.16E-05,3.54E-05,0.0003,0,0.0005,0.0004,9.53E-05,0.0001,0,0.0005,2.85E-05,0.0001,0.0001,0.0006,0,0.0002,4.91E-05,0.0004,0.0001,0.0003,0.0009,0.0007,0.0001,0.0002,0.0003,0.0003,0.0002,0.0006,0.0007,0.0006,0.0002,0.0009,0,0.0018,0.001,0.0027,0.0005,0.0006,0.0001,0.0002,0.0002,0.0009,0.0005,0,0,7.57E-05,0.0002,0,1.97E-05,0,0.0005,7.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-06
